Web Development,Big Data,Machine Learning,Deep Learning,Security
Express.js 4,,Microsoft Azure Machine Learning Studio,,Data Security
Laravel 5,,Google Cloud AI Platform,,Incident Response
Laravel Mix,,TensorFlow Serving,,Mobile Device Management
Nuxt.js,,Deep Learning Toolkit,,Password Management
Ruby on Rails 6,,H2O.ai,,Security Information and Event Management
Ruby on Rails Active Record,,BigML,,Threat Intelligence
Ruby on Rails Association,,RapidMiner,,Anti-Malware
Ruby on Rails Routing,,DataRobot,,Access Control
Ruby on Rails Controllers,,IBM Watson Machine Learning,,Physical Security
Ruby on Rails Models,,KNIME,,Disaster Recovery
React Hooks,,H2O.ai,,Data Backup
React Context,,Dataiku,,Encryption at Rest
React State,,RapidMiner,,SSL/TLS Certificate Management
React Props,,Microsoft Azure Machine Learning,,Cloud Security Posture Management
Redux,,Google Cloud AI Platform,,Authentication and Authorization
Redux Saga,,Amazon SageMaker,,Secure Coding Practices
GraphQL,,Torch,,Social Engineering
Vuex,,Microsoft Cognitive Toolkit,,Network Segmentation
Vuex Store,,Apache Mahout,,WAF
Vuex State Management,,Weka,,Web Application Firewall
Vue Router,,Scikit-learn,,Security Information and Event Management
Vuex getters,,,,Network Security Monitoring
Vuex actions,,,,Identity and Access Management
Vuex mutations,,,,Data Encryption at Rest
Firebase,,,,Security Compliance
Firebase Authentication,,,,Data Classification
Firebase Storage,,,,Penetration Testing
Firebase Cloud Messaging,,,,Security Operations Center (SOC)
Firebase Firestore,,,,Security Orchestration Automation and Response (SOAR)
user-avatar,,,,Security Information and Event Management (SIEM)
Vue.js 3,,,,Endpoint Detection and Response (EDR)
Svelte,,,,SIEM
Angular Material,,,,Security Configuration Management
Bootstrap,,,,Security Awareness Training
Foundation,,,,Data Loss Prevention (DLP)
Bulma,,,,Security Monitoring
Glide,,,,Security Operations Center (SOC)
Materialize,,,,Security Orchestration Automation and Response (SOAR)
Semantic UI,,,,Identity and Access Management (IAM)
Vuex 3,,,,Security Incident Response
React Router 6,,,,Security Information and Event Management (SIEM)
Nuxt.js 2,,,,Cloud Security
Vuex 2,,,,Network Security
Next.js,,,,Data Security
Vite,,,,Web Application Firewall (WAF)
ESLint,,,,Security Information and Event Management (SIEM)
Prettier,,,,Security Compliance
Yarn Workspaces,,,,Endpoint Security
Webpack 5,,,,Security Architecture
Babel,,,,Security Risk Management
PostCSS,,,,Security Policy Development
Sass,,,,Security Threat Intelligence
Less,,,,Security Vulnerability Management
Autoptimize,,,,Security Assessment
Gulp,,,,Security Audit
Grunt,,,,Security Compliance
Webpack-cli,,,,Security Consulting
Ant Design,,,,Security Design
Tailwind CSS,,,,Security Incident Response
Foundation 6,,,,Security Orchestration Automation and Response (SOAR)
Bootstrap 5,,,,Security Risk Management
Bulma 2,,,,Security Strategy
Glide 4,,,,Security Threat Intelligence
Materialize 2,,,,Security Training
Semantic UI 2,,,,Security Validation
Ant Design Pro,,,,Vulnerability Management
Chakra UI,,,,Identity and Access Management (IAM)
Nuxt.js 3,,,,
Vite 3,,,,
Vue 3,,,,
Vue Router 6,,,,
Vuex 3,,,,
Storybook,,,,
Atelectasis,,,,
Docusaurus,,,,
Next.js 13,,,,
Vite 3,,,,
TypeScript,,,,
Flow,,,,
Styled Components,,,,
Shadow DOM,,,,
